timestamp,src_ip,src_port,dst_ip,dst_port,protocol,action,device,message,packet_size,packet_rate,byte_rate,tcp_flags
2025-08-08T05:06:03.986536Z,224.254.211.47,30155,191.75.57.158,22,ICMP,ALLOW,firewall-01,Connection allowed via ICMP,215,124,7293,0
2025-08-08T05:06:03.986933Z,31.88.64.67,36559,187.144.196.80,22,ICMP,BLOCK,firewall-01,Connection blocked via ICMP,210,96,44002,1
2025-08-08T05:06:03.986987Z,160.231.148.153,50548,71.193.158.19,22,TCP,ALLOW,firewall-01,Connection allowed via TCP,557,60,95849,16
2025-08-08T05:06:03.987030Z,3.208.41.107,12080,206.41.195.20,80,UDP,ALLOW,firewall-01,Connection allowed via UDP,2728,137,54969,0
2025-08-08T05:06:03.987072Z,140.66.14.56,10456,90.11.150.96,443,UDP,BLOCK,firewall-01,Connection blocked via UDP,2826,122,10636,16
2025-08-08T05:06:03.987108Z,41.221.50.230,42610,190.84.175.116,80,TCP,ALLOW,firewall-01,Connection allowed via TCP,1110,141,60614,0
2025-08-08T05:06:03.987141Z,32.79.167.181,51900,9.170.106.67,53,TCP,BLOCK,firewall-01,Connection blocked via TCP,842,71,99106,1
2025-08-08T05:06:03.987173Z,67.42.249.210,16083,141.140.220.82,22,ICMP,ALLOW,firewall-01,Connection allowed via ICMP,1083,165,2579,1
2025-08-08T05:06:03.987204Z,245.17.250.204,55081,44.150.181.179,443,ICMP,BLOCK,firewall-01,Connection blocked via ICMP,1032,53,73655,2
2025-08-08T05:06:03.987239Z,91.36.126.63,25112,108.62.108.83,3389,TCP,ALLOW,firewall-01,Connection allowed via TCP,1651,82,86060,1
2025-08-08T05:06:03.987274Z,153.210.120.88,57211,214.19.69.153,22,ICMP,ALLOW,firewall-01,Connection allowed via ICMP,1450,141,30430,0
2025-08-08T05:06:03.987306Z,186.196.151.246,45799,18.68.175.73,22,UDP,ALLOW,firewall-01,Connection allowed via UDP,1140,72,6623,0
2025-08-08T05:06:03.987337Z,190.64.195.37,57801,225.98.79.9,53,UDP,ALLOW,firewall-01,Connection allowed via UDP,2663,63,81851,0
2025-08-08T05:06:03.987368Z,120.70.141.252,44630,42.226.51.138,3389,UDP,BLOCK,firewall-01,Connection blocked via UDP,1611,198,87437,16
2025-08-08T05:06:03.987399Z,198.105.227.55,53163,232.235.83.145,443,TCP,ALLOW,firewall-01,Connection allowed via TCP,2465,107,89996,0
2025-08-08T05:06:03.987430Z,47.52.90.75,1966,111.223.8.241,443,TCP,ALLOW,firewall-01,Connection allowed via TCP,2097,159,53459,2
2025-08-08T05:06:03.987461Z,91.113.73.21,6764,12.94.176.171,22,UDP,BLOCK,firewall-01,Connection blocked via UDP,2648,17,8307,2
2025-08-08T05:06:03.987495Z,186.103.191.248,17421,194.238.182.242,22,ICMP,BLOCK,firewall-01,Connection blocked via ICMP,735,149,43476,16
2025-08-08T05:06:03.987526Z,99.163.70.16,9816,74.7.56.203,443,TCP,BLOCK,firewall-01,Connection blocked via TCP,2963,162,81934,0
2025-08-08T05:06:03.987556Z,52.134.188.254,65534,183.249.6.10,22,TCP,BLOCK,firewall-01,Connection blocked via TCP,2010,146,32690,0
2025-08-08T05:06:03.987586Z,226.228.4.10,5432,83.102.244.200,80,UDP,BLOCK,firewall-01,Connection blocked via UDP,810,77,19285,2
2025-08-08T05:06:03.987616Z,122.59.184.103,62709,201.25.188.34,53,UDP,ALLOW,firewall-01,Connection allowed via UDP,471,94,28776,2
2025-08-08T05:06:03.987649Z,198.254.238.133,49389,211.247.75.151,3389,UDP,BLOCK,firewall-01,Connection blocked via UDP,538,20,7722,2
2025-08-08T05:06:03.987679Z,199.54.165.205,4256,40.215.226.127,443,UDP,ALLOW,firewall-01,Connection allowed via UDP,2054,162,8172,0
2025-08-08T05:06:03.987710Z,167.240.122.235,33547,20.42.231.76,3389,ICMP,BLOCK,firewall-01,Connection blocked via ICMP,1532,134,94087,16
2025-08-08T05:06:03.987740Z,248.141.254.140,56604,95.73.115.172,443,UDP,ALLOW,firewall-01,Connection allowed via UDP,2826,166,65306,2
2025-08-08T05:06:03.987817Z,201.52.35.4,17566,160.50.244.92,80,UDP,ALLOW,firewall-01,Connection allowed via UDP,714,8,51439,16
2025-08-08T05:06:03.987853Z,62.40.170.24,57107,166.226.250.119,53,ICMP,ALLOW,firewall-01,Connection allowed via ICMP,2393,57,37038,0
