timestamp,src_ip,src_port,dst_ip,dst_port,protocol,action,device,message
2025-08-06T19:47:24.868346Z,5.91.220.224,20314,103.121.243.250,80,UDP,ALLOW,firewall-01,Connection allowed via UDP
2025-08-06T19:47:24.868483Z,106.116.111.1,51061,44.8.139.202,443,UDP,ALLOW,firewall-01,Connection allowed via UDP
2025-08-06T19:47:24.868527Z,126.199.104.33,8362,46.7.89.184,3389,TCP,BLOCK,firewall-01,Connection blocked via TCP
2025-08-06T19:47:24.868558Z,149.129.239.114,50580,117.142.91.37,80,ICMP,BLOCK,firewall-01,Connection blocked via ICMP
2025-08-06T19:47:24.868586Z,176.58.219.156,58940,21.184.188.9,80,ICMP,ALLOW,firewall-01,Connection allowed via ICMP
2025-08-06T19:47:24.868612Z,237.175.108.105,49627,91.33.240.82,22,TCP,ALLOW,firewall-01,Connection allowed via TCP
2025-08-06T19:47:24.868636Z,4.42.48.34,46402,138.81.80.143,443,UDP,BLOCK,firewall-01,Connection blocked via UDP
2025-08-06T19:47:24.868661Z,59.53.42.155,15273,9.232.198.175,3389,ICMP,ALLOW,firewall-01,Connection allowed via ICMP
2025-08-06T19:47:24.868686Z,210.77.205.92,21628,165.182.241.204,3389,TCP,BLOCK,firewall-01,Connection blocked via TCP
2025-08-06T19:47:24.868711Z,73.182.37.211,37211,193.148.36.106,3389,ICMP,BLOCK,firewall-01,Connection blocked via ICMP
2025-08-06T19:47:24.868748Z,254.236.102.241,49896,25.76.207.77,80,UDP,ALLOW,firewall-01,Connection allowed via UDP
2025-08-06T19:47:24.868779Z,12.51.54.106,36074,228.186.232.253,80,TCP,ALLOW,firewall-01,Connection allowed via TCP
2025-08-06T19:47:24.868805Z,211.80.72.108,22196,58.112.75.181,3389,TCP,ALLOW,firewall-01,Connection allowed via TCP
2025-08-06T19:47:24.868829Z,233.229.187.99,48021,25.223.119.190,53,TCP,ALLOW,firewall-01,Connection allowed via TCP
2025-08-06T19:47:24.868856Z,198.146.55.34,8773,143.56.220.88,53,UDP,ALLOW,firewall-01,Connection allowed via UDP
2025-08-06T19:47:24.868880Z,163.173.68.41,60217,179.79.137.57,53,ICMP,BLOCK,firewall-01,Connection blocked via ICMP
2025-08-06T19:47:24.868904Z,147.91.184.216,6296,125.164.247.85,80,ICMP,ALLOW,firewall-01,Connection allowed via ICMP
2025-08-06T19:47:24.868928Z,67.203.188.204,48200,203.151.239.185,22,UDP,BLOCK,firewall-01,Connection blocked via UDP
2025-08-06T19:47:24.868952Z,96.20.14.244,9585,141.241.126.147,3389,ICMP,BLOCK,firewall-01,Connection blocked via ICMP
2025-08-06T19:47:24.868975Z,230.159.12.73,56599,210.70.114.238,22,TCP,ALLOW,firewall-01,Connection allowed via TCP
2025-08-06T19:47:24.868999Z,217.70.40.176,63118,181.177.200.197,443,UDP,BLOCK,firewall-01,Connection blocked via UDP
2025-08-06T19:47:24.869022Z,62.149.91.224,13970,233.54.133.96,80,ICMP,ALLOW,firewall-01,Connection allowed via ICMP
2025-08-06T19:47:24.869046Z,98.21.5.118,50644,123.96.118.105,22,TCP,ALLOW,firewall-01,Connection allowed via TCP
2025-08-06T19:47:24.869069Z,81.165.172.179,40980,63.131.94.137,443,ICMP,ALLOW,firewall-01,Connection allowed via ICMP
2025-08-06T19:47:24.869096Z,52.20.148.124,7709,60.204.113.188,3389,TCP,BLOCK,firewall-01,Connection blocked via TCP
2025-08-06T19:47:24.869121Z,161.40.213.91,31235,253.213.8.10,53,TCP,ALLOW,firewall-01,Connection allowed via TCP
2025-08-06T19:47:24.869144Z,84.160.110.109,4651,54.112.27.34,22,UDP,BLOCK,firewall-01,Connection blocked via UDP
2025-08-06T19:47:24.869170Z,95.145.4.86,11511,225.134.71.194,80,UDP,ALLOW,firewall-01,Connection allowed via UDP
2025-08-06T19:47:24.869194Z,117.88.97.206,63463,114.177.95.112,80,UDP,ALLOW,firewall-01,Connection allowed via UDP
2025-08-06T19:47:24.869217Z,140.93.106.141,41457,153.53.151.77,80,TCP,BLOCK,firewall-01,Connection blocked via TCP
2025-08-06T19:47:24.869240Z,27.157.209.89,50791,117.139.128.68,3389,UDP,BLOCK,firewall-01,Connection blocked via UDP
2025-08-06T19:47:24.869263Z,126.232.58.223,27027,221.124.18.52,443,UDP,BLOCK,firewall-01,Connection blocked via UDP
2025-08-06T19:47:24.869287Z,53.253.135.58,48104,217.106.251.119,53,ICMP,ALLOW,firewall-01,Connection allowed via ICMP
2025-08-06T19:47:24.869310Z,162.133.211.208,11575,241.53.230.68,22,ICMP,BLOCK,firewall-01,Connection blocked via ICMP
2025-08-06T19:47:24.869333Z,32.205.118.228,63232,103.110.4.46,443,UDP,BLOCK,firewall-01,Connection blocked via UDP
2025-08-06T19:47:24.869421Z,199.238.252.197,10533,162.172.230.64,3389,ICMP,ALLOW,firewall-01,Connection allowed via ICMP
2025-08-06T19:47:24.869450Z,174.32.59.97,26959,62.162.137.90,22,ICMP,ALLOW,firewall-01,Connection allowed via ICMP
2025-08-06T19:47:24.869474Z,166.134.238.96,10465,232.135.184.77,80,TCP,ALLOW,firewall-01,Connection allowed via TCP
2025-08-06T19:47:24.869498Z,223.225.129.224,54903,155.201.247.203,443,ICMP,ALLOW,firewall-01,Connection allowed via ICMP
2025-08-06T19:47:24.869523Z,245.95.153.137,49759,90.96.7.179,53,UDP,ALLOW,firewall-01,Connection allowed via UDP
2025-08-06T19:47:24.869546Z,18.235.192.97,15037,12.180.198.30,3389,UDP,BLOCK,firewall-01,Connection blocked via UDP
2025-08-06T19:47:24.869570Z,185.45.247.53,9257,179.250.13.221,80,UDP,BLOCK,firewall-01,Connection blocked via UDP
2025-08-06T19:47:24.869593Z,125.157.111.23,63667,50.179.214.134,80,UDP,ALLOW,firewall-01,Connection allowed via UDP
2025-08-06T19:47:24.869616Z,236.139.118.150,37206,244.89.133.169,80,ICMP,BLOCK,firewall-01,Connection blocked via ICMP
2025-08-06T19:47:24.869639Z,211.179.87.48,11876,211.10.125.177,22,TCP,ALLOW,firewall-01,Connection allowed via TCP
2025-08-06T19:47:24.869662Z,72.96.228.86,15954,65.114.173.225,80,ICMP,ALLOW,firewall-01,Connection allowed via ICMP
2025-08-06T19:47:24.869686Z,56.76.68.236,48971,89.77.48.2,3389,UDP,BLOCK,firewall-01,Connection blocked via UDP
2025-08-06T19:47:24.869709Z,87.209.222.231,10329,184.88.129.85,3389,ICMP,ALLOW,firewall-01,Connection allowed via ICMP
2025-08-06T19:47:24.869732Z,146.129.64.209,41084,204.158.232.63,22,UDP,BLOCK,firewall-01,Connection blocked via UDP
2025-08-06T19:47:24.869755Z,226.66.69.90,42846,114.194.251.105,53,TCP,ALLOW,firewall-01,Connection allowed via TCP
2025-08-06T19:47:24.869778Z,180.163.15.157,41441,18.53.246.208,80,TCP,BLOCK,firewall-01,Connection blocked via TCP
2025-08-06T19:47:24.869800Z,223.150.40.177,35667,142.146.164.130,80,TCP,ALLOW,firewall-01,Connection allowed via TCP
2025-08-06T19:47:24.869827Z,60.233.68.118,8206,253.44.185.117,53,ICMP,ALLOW,firewall-01,Connection allowed via ICMP
2025-08-06T19:47:24.869850Z,125.79.89.122,36450,190.75.62.61,22,ICMP,BLOCK,firewall-01,Connection blocked via ICMP
2025-08-06T19:47:24.869873Z,62.132.244.170,40901,246.136.205.245,3389,UDP,BLOCK,firewall-01,Connection blocked via UDP
2025-08-06T19:47:24.869896Z,99.50.174.246,3176,181.147.47.103,22,ICMP,ALLOW,firewall-01,Connection allowed via ICMP
2025-08-06T19:47:24.869920Z,222.221.243.46,7585,170.193.64.137,3389,ICMP,ALLOW,firewall-01,Connection allowed via ICMP
2025-08-06T19:47:24.869943Z,243.28.243.39,34891,138.228.200.54,3389,ICMP,BLOCK,firewall-01,Connection blocked via ICMP
2025-08-06T19:47:24.869967Z,146.101.25.189,10619,214.23.100.199,3389,UDP,ALLOW,firewall-01,Connection allowed via UDP
2025-08-06T19:47:24.869990Z,138.87.168.134,47299,62.147.101.194,22,UDP,ALLOW,firewall-01,Connection allowed via UDP
